S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
1128,11-12-2015,Idaho,BBQ Philly Steak,5,08:31:19,Before 9:00am,16.00
1129,07-12-2015,California,Chicken Suya,3,08:31:19,Before 9:00am,16.00
1130,07-12-2015,Oregon,Margarita,3,08:31:21,Before 9:00am,16.00
1131,15-12-2015,Arizona,Chicken Feast,4,08:31:23,Before 9:00am,8.00
1132,09-12-2015,California,Chicken Feast,3,08:31:23,Before 9:00am,8.00
1133,04-12-2015,Oregon,Hot Pepperoni Feast,1,08:31:25,Before 9:00am,16.00
1134,14-12-2015,Idaho,Italiano,2,08:31:25,Before 9:00am,12.00
1135,09-12-2015,Idaho,Veggie Supreme,4,08:31:27,Before 9:00am,12.00
1136,13-12-2015,California,Chicken Bali,1,08:31:27,Before 9:00am,8.00
1137,08-12-2015,California,Italiano,2,08:31:28,Before 9:00am,12.00
1138,15-12-2015,California,BBQ Chicken,3,08:31:29,Before 9:00am,16.00
1139,08-12-2015,California,Chicken Feast,3,08:31:29,Before 9:00am,8.00
1140,09-12-2015,Oregon,Pepperoni Suya,1,08:31:29,Before 9:00am,12.00
1141,07-12-2015,Arizona,Chicken Feast,4,08:31:35,Before 9:00am,8.00
1142,15-12-2015,Oregon,Meatzaa,4,08:31:35,Before 9:00am,8.00
1143,03-12-2015,Oregon,Italiano,1,08:31:37,Before 9:00am,12.00
1144,05-12-2015,Arizona,Hot Pepperoni Feast,3,08:31:37,Before 9:00am,16.00
1145,11-12-2015,California,Pepperoni Feast,2,08:31:38,Before 9:00am,16.00
1146,04-12-2015,Nevada,Chicken Legend,2,08:31:41,Before 9:00am,8.00
1147,03-12-2015,Nevada,BBQ Chicken,2,08:31:44,Before 9:00am,16.00
1148,10-12-2015,Oregon,BBQ Philly Steak,2,08:31:44,Before 9:00am,16.00
1149,06-12-2015,Idaho,Extravaganza,4,08:31:44,Before 9:00am,8.00
1150,12-12-2015,Arizona,Pepperoni Suya,1,08:31:44,Before 9:00am,12.00
1151,06-12-2015,California,Margarita,1,08:31:49,Before 9:00am,16.00
1152,04-12-2015,Oregon,Hot Pepperoni Feast,2,08:31:49,Before 9:00am,16.00
1153,12-12-2015,California,Extravaganza,5,08:31:50,Before 9:00am,8.00
1154,09-12-2015,Idaho,BBQ Chicken,4,08:31:51,Before 9:00am,16.00
1155,11-12-2015,California,Beef Suya,5,08:31:52,Before 9:00am,12.00
1156,10-12-2015,Nevada,Meatzaa,4,08:31:52,Before 9:00am,8.00
1157,09-12-2015,Oregon,Pepperoni Suya,4,08:31:53,Before 9:00am,12.00
1158,11-12-2015,Oregon,Pepperoni Suya,1,08:31:54,Before 9:00am,12.00
1159,07-12-2015,Arizona,BBQ Philly Steak,5,08:31:57,Before 9:00am,16.00
1160,10-12-2015,Nevada,Beef Suya,1,08:32:01,Before 9:00am,12.00
1161,12-12-2015,Oregon,Italiano,3,08:32:02,Before 9:00am,12.00
1162,09-12-2015,Oregon,Pepperoni Feast,5,08:32:04,Before 9:00am,16.00
1163,14-12-2015,Nevada,Veggie Supreme,2,08:32:06,Before 9:00am,12.00
1164,06-12-2015,Oregon,Meatzaa,1,08:32:07,Before 9:00am,8.00
1165,08-12-2015,Idaho,Margarita,4,08:32:08,Before 9:00am,16.00
1166,07-12-2015,Idaho,Pepperoni Feast,4,08:32:09,Before 9:00am,16.00
1167,11-12-2015,Nevada,Chicken Feast,2,08:32:12,Before 9:00am,8.00
1168,12-12-2015,Idaho,BBQ Philly Steak,4,08:32:15,Before 9:00am,16.00
1169,13-12-2015,Nevada,Veggie Supreme,1,08:32:15,Before 9:00am,12.00
1170,10-12-2015,Oregon,Veggie Supreme,5,08:32:16,Before 9:00am,12.00
1171,05-12-2015,Arizona,Veggie Supreme,4,08:32:16,Before 9:00am,12.00
1172,03-12-2015,Arizona,Chicken Bali,2,08:32:17,Before 9:00am,8.00
1173,07-12-2015,Nevada,Italiano,3,08:32:18,Before 9:00am,12.00
1174,13-12-2015,Nevada,Chicken Feast,2,08:32:21,Before 9:00am,8.00
1175,05-12-2015,California,BBQ Philly Steak,3,08:32:24,Before 9:00am,16.00
1176,14-12-2015,Nevada,Chicken Bali,3,08:32:30,Before 9:00am,8.00
1177,11-12-2015,Arizona,Extravaganza,1,08:32:30,Before 9:00am,8.00
1178,13-12-2015,California,Chicken Feast,4,08:32:31,Before 9:00am,8.00
1179,07-12-2015,Arizona,Chicken Bali,3,08:32:31,Before 9:00am,8.00
1180,05-12-2015,Idaho,Hot Veggie,4,08:32:34,Before 9:00am,16.00
1181,05-12-2015,Arizona,Meatzaa,1,08:32:34,Before 9:00am,8.00
1182,10-12-2015,Oregon,Chicken Suya,5,08:32:36,Before 9:00am,16.00
1183,03-12-2015,California,Chicken Legend,2,08:32:38,Before 9:00am,8.00
1184,10-12-2015,California,Chicken Suya,3,08:32:38,Before 9:00am,16.00
1185,07-12-2015,Nevada,BBQ Philly Steak,5,08:32:39,Before 9:00am,16.00
1186,08-12-2015,Nevada,Pepperoni Feast,2,08:32:40,Before 9:00am,16.00
1187,05-12-2015,Nevada,Chicken Suya,4,08:32:42,Before 9:00am,16.00
1188,12-12-2015,Nevada,Hot Veggie,5,08:32:42,Before 9:00am,16.00
1189,03-12-2015,California,Beef Suya,2,08:32:44,Before 9:00am,12.00
1190,05-12-2015,Oregon,Extravaganza,5,08:32:44,Before 9:00am,8.00
1191,14-12-2015,Arizona,Italiano,4,08:32:46,Before 9:00am,12.00
1192,04-12-2015,Oregon,BBQ Chicken,2,08:32:47,Before 9:00am,16.00
1193,07-12-2015,Nevada,Italiano,4,08:32:48,Before 9:00am,12.00
1194,05-12-2015,Arizona,Meatzaa,2,08:32:49,Before 9:00am,8.00
1195,12-12-2015,Oregon,Chicken Suya,5,08:32:56,Before 9:00am,16.00
1196,12-12-2015,Nevada,Veggie Supreme,5,08:32:58,Before 9:00am,12.00
1197,06-12-2015,Oregon,Hot Veggie,2,08:32:58,Before 9:00am,16.00
1198,13-12-2015,California,Chicken Feast,2,08:32:59,Before 9:00am,8.00
1199,14-12-2015,Oregon,BBQ Philly Steak,2,08:33:00,Before 9:00am,16.00
1200,05-12-2015,Nevada,Chicken Bali,5,08:33:02,Before 9:00am,8.00
1201,03-12-2015,Oregon,Margarita,3,08:33:04,Before 9:00am,16.00
1202,11-12-2015,Arizona,Chicken Feast,5,08:33:05,Before 9:00am,8.00
1203,05-12-2015,Arizona,Beef Suya,3,08:33:05,Before 9:00am,12.00
1204,06-12-2015,Idaho,Veggie Supreme,5,08:33:07,Before 9:00am,12.00
1205,13-12-2015,Oregon,Pepperoni Feast,4,08:33:08,Before 9:00am,16.00
1206,10-12-2015,Nevada,Italiano,4,08:33:11,Before 9:00am,12.00
1207,03-12-2015,Nevada,Pepperoni Feast,3,08:33:11,Before 9:00am,16.00
1208,08-12-2015,Arizona,Chicken Bali,3,08:33:13,Before 9:00am,8.00
1209,15-12-2015,Idaho,Margarita,2,08:33:13,Before 9:00am,16.00
1210,06-12-2015,Oregon,Italiano,3,08:33:14,Before 9:00am,12.00
1211,14-12-2015,Idaho,Hot Pepperoni Feast,5,08:33:16,Before 9:00am,16.00
1212,12-12-2015,Nevada,Chicken Suya,5,08:33:16,Before 9:00am,16.00
1213,10-12-2015,Oregon,Hot Pepperoni Feast,5,08:33:17,Before 9:00am,16.00
1214,10-12-2015,Arizona,BBQ Philly Steak,3,08:33:17,Before 9:00am,16.00
1215,06-12-2015,Nevada,Chicken Bali,2,08:33:25,Before 9:00am,8.00
1216,12-12-2015,California,Chicken Feast,3,08:33:26,Before 9:00am,8.00
1217,04-12-2015,Oregon,Pepperoni Feast,2,08:33:30,Before 9:00am,16.00
1218,03-12-2015,California,BBQ Chicken,2,08:33:32,Before 9:00am,16.00
1219,14-12-2015,Nevada,Chicken Suya,1,08:33:32,Before 9:00am,16.00
1220,04-12-2015,California,Hot Veggie,2,08:33:39,Before 9:00am,16.00
1221,04-12-2015,Idaho,Pepperoni Suya,2,08:33:40,Before 9:00am,12.00
1222,08-12-2015,Arizona,Veggie Supreme,5,08:33:44,Before 9:00am,12.00
1223,07-12-2015,Idaho,Pepperoni Feast,2,08:33:45,Before 9:00am,16.00
1224,07-12-2015,Oregon,Extravaganza,1,08:33:45,Before 9:00am,8.00
1225,13-12-2015,Arizona,Extravaganza,1,08:33:46,Before 9:00am,8.00
1226,10-12-2015,Arizona,Veggie Supreme,2,08:33:47,Before 9:00am,12.00
1227,05-12-2015,Nevada,BBQ Philly Steak,1,08:33:48,Before 9:00am,16.00
1228,09-12-2015,Oregon,Chicken Suya,1,08:33:52,Before 9:00am,16.00
1229,12-12-2015,Nevada,Italiano,4,08:33:53,Before 9:00am,12.00
1230,09-12-2015,Arizona,Chicken Legend,5,08:33:53,Before 9:00am,8.00
1231,10-12-2015,Idaho,Chicken Feast,2,08:33:56,Before 9:00am,8.00
1232,09-12-2015,Oregon,Italiano,2,08:34:02,Before 9:00am,12.00
1233,03-12-2015,Nevada,Chicken Feast,2,08:34:03,Before 9:00am,8.00
1234,08-12-2015,Idaho,Pepperoni Suya,2,08:34:03,Before 9:00am,12.00
1235,11-12-2015,Nevada,Chicken Bali,1,08:34:04,Before 9:00am,8.00
1236,12-12-2015,Oregon,Italiano,4,08:34:07,Before 9:00am,12.00
1237,06-12-2015,Oregon,Extravaganza,4,08:34:08,Before 9:00am,8.00
1238,13-12-2015,Oregon,Chicken Suya,2,08:34:08,Before 9:00am,16.00
1239,03-12-2015,Arizona,Italiano,3,08:34:09,Before 9:00am,12.00
1240,15-12-2015,California,Hot Pepperoni Feast,3,08:34:14,Before 9:00am,16.00
1241,15-12-2015,Arizona,Chicken Bali,1,08:34:17,Before 9:00am,8.00
1242,14-12-2015,Idaho,Chicken Bali,1,08:34:17,Before 9:00am,8.00
1243,03-12-2015,Idaho,Chicken Feast,3,08:34:21,Before 9:00am,8.00
1244,15-12-2015,Oregon,BBQ Chicken,4,08:34:22,Before 9:00am,16.00
1245,13-12-2015,Oregon,Pepperoni Suya,5,08:34:24,Before 9:00am,12.00
1246,06-12-2015,Idaho,Italiano,3,08:34:24,Before 9:00am,12.00
1247,05-12-2015,Nevada,Beef Suya,5,08:34:25,Before 9:00am,12.00
1248,05-12-2015,Nevada,Extravaganza,5,08:34:28,Before 9:00am,8.00
1249,03-12-2015,California,Chicken Suya,3,08:34:28,Before 9:00am,16.00
1250,04-12-2015,Arizona,Beef Suya,4,08:34:29,Before 9:00am,12.00
1251,09-12-2015,Idaho,Pepperoni Feast,3,08:34:29,Before 9:00am,16.00
1252,10-12-2015,Arizona,Margarita,2,08:34:32,Before 9:00am,16.00
1253,09-12-2015,California,Extravaganza,4,08:34:33,Before 9:00am,8.00
1254,15-12-2015,Arizona,Pepperoni Suya,4,08:34:33,Before 9:00am,12.00
1255,14-12-2015,Arizona,Meatzaa,1,08:34:34,Before 9:00am,8.00
1256,12-12-2015,Oregon,Veggie Supreme,4,08:34:35,Before 9:00am,12.00
1257,05-12-2015,Arizona,Margarita,4,08:34:37,Before 9:00am,16.00
1258,11-12-2015,Idaho,Pepperoni Suya,2,08:34:37,Before 9:00am,12.00
1259,10-12-2015,Nevada,Chicken Legend,1,08:34:42,Before 9:00am,8.00
1260,15-12-2015,Oregon,Hot Veggie,2,08:34:43,Before 9:00am,16.00
1261,08-12-2015,Arizona,Veggie Supreme,4,08:34:45,Before 9:00am,12.00
1262,14-12-2015,California,Chicken Suya,4,08:34:46,Before 9:00am,16.00
1263,13-12-2015,Oregon,Pepperoni Suya,3,08:34:47,Before 9:00am,12.00
1264,11-12-2015,Nevada,Hot Veggie,2,08:34:48,Before 9:00am,16.00
1265,04-12-2015,Oregon,Chicken Legend,1,08:34:48,Before 9:00am,8.00
1266,12-12-2015,Arizona,Hot Veggie,5,08:34:49,Before 9:00am,16.00
1267,14-12-2015,California,Chicken Suya,3,08:34:49,Before 9:00am,16.00
1268,12-12-2015,Oregon,Chicken Legend,3,08:34:56,Before 9:00am,8.00
1269,08-12-2015,Nevada,Chicken Bali,2,08:34:57,Before 9:00am,8.00
1270,10-12-2015,Nevada,Hot Veggie,3,08:34:59,Before 9:00am,16.00
1271,06-12-2015,Nevada,Pepperoni Feast,4,08:35:00,Before 9:00am,16.00
1272,07-12-2015,Oregon,Italiano,2,08:35:01,Before 9:00am,12.00
1273,11-12-2015,Oregon,Chicken Bali,3,08:35:03,Before 9:00am,8.00
1274,10-12-2015,Idaho,Veggie Supreme,3,08:35:04,Before 9:00am,12.00
1275,09-12-2015,Arizona,Chicken Legend,4,08:35:07,Before 9:00am,8.00
1276,11-12-2015,Arizona,Chicken Legend,4,08:35:09,Before 9:00am,8.00
1277,05-12-2015,Oregon,Margarita,4,08:35:10,Before 9:00am,16.00
1278,14-12-2015,Idaho,BBQ Chicken,1,08:35:12,Before 9:00am,16.00
1279,07-12-2015,Idaho,Meatzaa,2,08:35:13,Before 9:00am,8.00
1280,12-12-2015,Oregon,Pepperoni Suya,4,08:35:14,Before 9:00am,12.00
1281,09-12-2015,Arizona,BBQ Chicken,2,08:35:15,Before 9:00am,16.00
1282,05-12-2015,California,BBQ Chicken,4,08:35:17,Before 9:00am,16.00
1283,09-12-2015,Oregon,Hot Veggie,1,08:35:19,Before 9:00am,16.00
1284,14-12-2015,Arizona,Pepperoni Suya,1,08:35:19,Before 9:00am,12.00
1285,05-12-2015,Idaho,Pepperoni Suya,1,08:35:19,Before 9:00am,12.00
1286,14-12-2015,Arizona,Chicken Bali,2,08:35:21,Before 9:00am,8.00
1287,13-12-2015,Arizona,Meatzaa,1,08:35:21,Before 9:00am,8.00
1288,11-12-2015,Arizona,Italiano,2,08:35:26,Before 9:00am,12.00
1289,05-12-2015,Oregon,BBQ Philly Steak,3,08:35:26,Before 9:00am,16.00
1290,15-12-2015,Nevada,Italiano,4,08:35:27,Before 9:00am,12.00
1291,14-12-2015,Nevada,Hot Veggie,4,08:35:30,Before 9:00am,16.00
1292,07-12-2015,Arizona,Beef Suya,2,08:35:31,Before 9:00am,12.00
1293,10-12-2015,California,Pepperoni Feast,1,08:35:31,Before 9:00am,16.00
1294,12-12-2015,Nevada,Italiano,1,08:35:35,Before 9:00am,12.00
1295,08-12-2015,Idaho,Chicken Feast,4,08:35:36,Before 9:00am,8.00
1296,15-12-2015,Oregon,Pepperoni Feast,1,08:35:36,Before 9:00am,16.00
1297,03-12-2015,Arizona,BBQ Philly Steak,1,08:35:36,Before 9:00am,16.00
1298,12-12-2015,Arizona,Hot Pepperoni Feast,5,08:35:37,Before 9:00am,16.00
1299,08-12-2015,Idaho,Beef Suya,3,08:35:38,Before 9:00am,12.00
1300,09-12-2015,Oregon,Chicken Feast,1,08:35:39,Before 9:00am,8.00
1301,10-12-2015,Nevada,Meatzaa,2,08:35:43,Before 9:00am,8.00
1302,13-12-2015,Arizona,Italiano,1,08:35:44,Before 9:00am,12.00
1303,10-12-2015,Oregon,Chicken Bali,5,08:35:44,Before 9:00am,8.00
1304,11-12-2015,Nevada,Chicken Suya,5,08:35:48,Before 9:00am,16.00
1305,14-12-2015,Arizona,Veggie Supreme,5,08:35:50,Before 9:00am,12.00
1306,12-12-2015,Idaho,BBQ Chicken,2,08:35:51,Before 9:00am,16.00
1307,13-12-2015,Oregon,Pepperoni Feast,2,08:35:53,Before 9:00am,16.00
1308,06-12-2015,Idaho,Meatzaa,1,08:35:54,Before 9:00am,8.00
1309,12-12-2015,Idaho,Italiano,2,08:35:56,Before 9:00am,12.00
1310,11-12-2015,Oregon,Hot Pepperoni Feast,1,08:35:56,Before 9:00am,16.00
1311,11-12-2015,Idaho,Meatzaa,2,08:35:57,Before 9:00am,8.00
1312,10-12-2015,Nevada,Extravaganza,2,08:35:58,Before 9:00am,8.00
1313,10-12-2015,Arizona,Pepperoni Feast,3,08:35:58,Before 9:00am,16.00
1314,12-12-2015,Idaho,Pepperoni Feast,1,08:35:58,Before 9:00am,16.00
1315,03-12-2015,Idaho,Hot Veggie,1,08:35:59,Before 9:00am,16.00
1316,15-12-2015,Idaho,Beef Suya,3,08:35:59,Before 9:00am,12.00
1317,08-12-2015,Nevada,BBQ Chicken,2,08:36:00,Before 9:00am,16.00
1318,08-12-2015,California,Chicken Legend,1,08:36:01,Before 9:00am,8.00
1319,10-12-2015,California,Beef Suya,3,08:36:03,Before 9:00am,12.00
1320,07-12-2015,Nevada,Veggie Supreme,1,08:36:05,Before 9:00am,12.00
1321,09-12-2015,Oregon,Chicken Feast,3,08:36:06,Before 9:00am,8.00
1322,08-12-2015,Idaho,Meatzaa,5,08:36:09,Before 9:00am,8.00
1323,04-12-2015,Arizona,Hot Pepperoni Feast,5,08:36:11,Before 9:00am,16.00
1324,08-12-2015,Arizona,Chicken Legend,3,08:36:11,Before 9:00am,8.00
1325,12-12-2015,Idaho,Chicken Legend,5,08:36:13,Before 9:00am,8.00
1326,13-12-2015,Oregon,Margarita,3,08:36:14,Before 9:00am,16.00
1327,03-12-2015,California,Italiano,1,08:36:16,Before 9:00am,12.00
1328,13-12-2015,California,Hot Pepperoni Feast,5,08:36:17,Before 9:00am,16.00
1329,03-12-2015,Oregon,Pepperoni Suya,2,08:36:17,Before 9:00am,12.00
1330,12-12-2015,Oregon,Hot Veggie,4,08:36:19,Before 9:00am,16.00
1331,12-12-2015,Arizona,BBQ Chicken,3,08:36:20,Before 9:00am,16.00
1332,05-12-2015,Idaho,BBQ Philly Steak,4,08:36:21,Before 9:00am,16.00
1333,09-12-2015,California,BBQ Philly Steak,2,08:36:22,Before 9:00am,16.00
1334,12-12-2015,Oregon,Veggie Supreme,1,08:36:23,Before 9:00am,12.00
1335,06-12-2015,Arizona,Beef Suya,5,08:36:23,Before 9:00am,12.00
1336,13-12-2015,Arizona,Hot Veggie,5,08:36:24,Before 9:00am,16.00
1337,08-12-2015,Idaho,Chicken Bali,4,08:36:25,Before 9:00am,8.00
1338,06-12-2015,Arizona,Veggie Supreme,5,08:36:26,Before 9:00am,12.00
1339,04-12-2015,Arizona,BBQ Philly Steak,4,08:36:26,Before 9:00am,16.00
1340,09-12-2015,California,BBQ Philly Steak,3,08:36:27,Before 9:00am,16.00
1341,07-12-2015,Nevada,BBQ Philly Steak,3,08:36:27,Before 9:00am,16.00
1342,08-12-2015,Idaho,Italiano,5,08:36:27,Before 9:00am,12.00
1343,09-12-2015,Oregon,Hot Pepperoni Feast,5,08:36:29,Before 9:00am,16.00
1344,11-12-2015,Oregon,BBQ Philly Steak,5,08:36:29,Before 9:00am,16.00
1345,07-12-2015,California,Meatzaa,4,08:36:29,Before 9:00am,8.00
1346,13-12-2015,Arizona,Italiano,3,08:36:32,Before 9:00am,12.00
1347,05-12-2015,Arizona,BBQ Chicken,3,08:36:34,Before 9:00am,16.00
1348,14-12-2015,Idaho,Chicken Suya,5,08:36:34,Before 9:00am,16.00
1349,14-12-2015,Arizona,Chicken Feast,1,08:36:34,Before 9:00am,8.00
1350,08-12-2015,Arizona,Chicken Suya,2,08:36:35,Before 9:00am,16.00
1351,04-12-2015,Idaho,Beef Suya,1,08:36:36,Before 9:00am,12.00
1352,07-12-2015,California,BBQ Chicken,5,08:36:36,Before 9:00am,16.00
1353,12-12-2015,Oregon,Pepperoni Feast,5,08:36:37,Before 9:00am,16.00
1354,15-12-2015,Arizona,Margarita,2,08:36:41,Before 9:00am,16.00
1355,10-12-2015,Arizona,Chicken Feast,4,08:36:41,Before 9:00am,8.00
1356,09-12-2015,Oregon,Chicken Legend,5,08:36:44,Before 9:00am,8.00
1357,11-12-2015,Nevada,Chicken Bali,1,08:36:45,Before 9:00am,8.00
1358,03-12-2015,Idaho,Margarita,3,08:36:55,Before 9:00am,16.00
1359,07-12-2015,California,Chicken Feast,4,08:36:56,Before 9:00am,8.00
1360,10-12-2015,Arizona,Beef Suya,2,08:36:56,Before 9:00am,12.00
1361,11-12-2015,California,Italiano,4,08:37:00,Before 9:00am,12.00
1362,07-12-2015,Idaho,Extravaganza,4,08:37:01,Before 9:00am,8.00
1363,12-12-2015,California,Beef Suya,4,08:37:03,Before 9:00am,12.00
1364,04-12-2015,Arizona,Chicken Suya,1,08:37:03,Before 9:00am,16.00
1365,08-12-2015,Idaho,Hot Pepperoni Feast,5,08:37:04,Before 9:00am,16.00
1366,08-12-2015,California,Hot Veggie,2,08:37:05,Before 9:00am,16.00
1367,08-12-2015,Arizona,Chicken Feast,3,08:37:07,Before 9:00am,8.00
1368,12-12-2015,Idaho,Chicken Bali,2,08:37:09,Before 9:00am,8.00
1369,05-12-2015,Idaho,Chicken Legend,2,08:37:09,Before 9:00am,8.00
1370,13-12-2015,Nevada,Beef Suya,3,08:37:10,Before 9:00am,12.00
1371,10-12-2015,Oregon,Veggie Supreme,3,08:37:12,Before 9:00am,12.00
1372,12-12-2015,Nevada,Margarita,1,08:37:16,Before 9:00am,16.00
1373,13-12-2015,Arizona,Pepperoni Suya,3,08:37:18,Before 9:00am,12.00
1374,11-12-2015,California,Meatzaa,3,08:37:19,Before 9:00am,8.00
1375,03-12-2015,Arizona,Chicken Suya,2,08:37:22,Before 9:00am,16.00
1376,06-12-2015,Idaho,Chicken Legend,1,08:37:23,Before 9:00am,8.00
1377,09-12-2015,Idaho,Meatzaa,3,08:37:24,Before 9:00am,8.00
1378,10-12-2015,Oregon,Pepperoni Feast,5,08:37:24,Before 9:00am,16.00
1379,13-12-2015,Oregon,BBQ Philly Steak,1,08:37:24,Before 9:00am,16.00
1380,04-12-2015,Nevada,Margarita,1,08:37:25,Before 9:00am,16.00
1381,09-12-2015,Nevada,Meatzaa,4,08:37:28,Before 9:00am,8.00
1382,04-12-2015,California,Chicken Suya,3,08:37:28,Before 9:00am,16.00
1383,03-12-2015,Idaho,Meatzaa,2,08:37:28,Before 9:00am,8.00
1384,12-12-2015,Idaho,Pepperoni Suya,1,08:37:32,Before 9:00am,12.00
1385,12-12-2015,Idaho,Veggie Supreme,3,08:37:32,Before 9:00am,12.00
1386,09-12-2015,Oregon,Italiano,1,08:37:32,Before 9:00am,12.00
1387,15-12-2015,Oregon,Chicken Bali,4,08:37:37,Before 9:00am,8.00
1388,04-12-2015,Oregon,Chicken Feast,2,08:37:37,Before 9:00am,8.00
1389,10-12-2015,Idaho,Chicken Suya,1,08:37:38,Before 9:00am,16.00
1390,03-12-2015,California,Hot Pepperoni Feast,5,08:37:40,Before 9:00am,16.00
1391,13-12-2015,California,BBQ Chicken,1,08:37:44,Before 9:00am,16.00
1392,10-12-2015,California,Italiano,3,08:37:45,Before 9:00am,12.00
1393,12-12-2015,Arizona,Italiano,3,08:37:46,Before 9:00am,12.00
1394,07-12-2015,Nevada,Beef Suya,4,08:37:47,Before 9:00am,12.00
1395,03-12-2015,California,Hot Veggie,3,08:37:49,Before 9:00am,16.00
1396,06-12-2015,California,Italiano,3,08:37:53,Before 9:00am,12.00
1397,14-12-2015,Idaho,Chicken Bali,2,08:37:55,Before 9:00am,8.00
1398,09-12-2015,Oregon,Meatzaa,1,08:37:56,Before 9:00am,8.00
1399,13-12-2015,Arizona,Chicken Bali,1,08:37:57,Before 9:00am,8.00
1400,05-12-2015,Arizona,Italiano,2,08:38:00,Before 9:00am,12.00
1401,13-12-2015,Arizona,BBQ Philly Steak,2,08:38:00,Before 9:00am,16.00
1402,14-12-2015,Nevada,Hot Pepperoni Feast,4,08:38:01,Before 9:00am,16.00
1403,13-12-2015,Nevada,BBQ Chicken,1,08:38:02,Before 9:00am,16.00
1404,11-12-2015,Nevada,BBQ Chicken,4,08:38:04,Before 9:00am,16.00
1405,03-12-2015,California,Pepperoni Feast,5,08:38:06,Before 9:00am,16.00
1406,15-12-2015,Nevada,BBQ Philly Steak,2,08:38:07,Before 9:00am,16.00
1407,04-12-2015,Idaho,Pepperoni Suya,4,08:38:08,Before 9:00am,12.00
1408,05-12-2015,Idaho,Chicken Feast,5,08:38:10,Before 9:00am,8.00
1409,12-12-2015,Arizona,Beef Suya,2,08:38:12,Before 9:00am,12.00
1410,13-12-2015,Nevada,Chicken Legend,4,08:38:12,Before 9:00am,8.00
1411,13-12-2015,California,Beef Suya,3,08:38:14,Before 9:00am,12.00
1412,14-12-2015,Idaho,Meatzaa,3,08:38:14,Before 9:00am,8.00
1413,04-12-2015,Arizona,BBQ Philly Steak,5,08:38:16,Before 9:00am,16.00
1414,15-12-2015,Oregon,Veggie Supreme,4,08:38:20,Before 9:00am,12.00
1415,07-12-2015,Nevada,BBQ Chicken,3,08:38:21,Before 9:00am,16.00
1416,09-12-2015,Idaho,Italiano,3,08:38:23,Before 9:00am,12.00
1417,14-12-2015,Nevada,Pepperoni Feast,5,08:38:24,Before 9:00am,16.00
1418,06-12-2015,California,Extravaganza,1,08:38:26,Before 9:00am,8.00
1419,08-12-2015,Oregon,Meatzaa,2,08:38:32,Before 9:00am,8.00
1420,10-12-2015,Idaho,Hot Pepperoni Feast,3,08:38:32,Before 9:00am,16.00
1421,04-12-2015,California,Beef Suya,5,08:38:34,Before 9:00am,12.00
1422,13-12-2015,Oregon,Beef Suya,4,08:38:34,Before 9:00am,12.00
1423,13-12-2015,Arizona,BBQ Philly Steak,3,08:38:35,Before 9:00am,16.00
1424,07-12-2015,Arizona,Hot Pepperoni Feast,2,08:38:35,Before 9:00am,16.00
1425,11-12-2015,Arizona,Italiano,1,08:38:37,Before 9:00am,12.00
1426,14-12-2015,California,Beef Suya,3,08:38:39,Before 9:00am,12.00
1427,09-12-2015,Arizona,BBQ Chicken,2,08:38:40,Before 9:00am,16.00
1428,04-12-2015,Oregon,BBQ Chicken,4,08:38:41,Before 9:00am,16.00
1429,04-12-2015,Nevada,Italiano,2,08:38:43,Before 9:00am,12.00
1430,10-12-2015,Arizona,Meatzaa,3,08:38:45,Before 9:00am,8.00
1431,11-12-2015,Idaho,Hot Pepperoni Feast,1,08:38:46,Before 9:00am,16.00
1432,03-12-2015,Idaho,Chicken Legend,3,08:38:46,Before 9:00am,8.00
1433,13-12-2015,Nevada,Hot Pepperoni Feast,3,08:38:46,Before 9:00am,16.00
1434,04-12-2015,Nevada,Italiano,5,08:38:52,Before 9:00am,12.00
1435,10-12-2015,Idaho,Hot Pepperoni Feast,5,08:38:52,Before 9:00am,16.00
1436,15-12-2015,Arizona,Chicken Feast,3,08:38:53,Before 9:00am,8.00
1437,09-12-2015,Arizona,Hot Pepperoni Feast,4,08:38:54,Before 9:00am,16.00
1438,08-12-2015,Idaho,Extravaganza,5,08:38:56,Before 9:00am,8.00
1439,05-12-2015,California,Extravaganza,5,08:38:56,Before 9:00am,8.00
1440,09-12-2015,Oregon,Chicken Suya,2,08:38:57,Before 9:00am,16.00
1441,15-12-2015,Nevada,Chicken Suya,2,08:38:59,Before 9:00am,16.00
1442,12-12-2015,Nevada,Meatzaa,5,08:39:01,Before 9:00am,8.00
1443,09-12-2015,California,Pepperoni Suya,2,08:39:02,Before 9:00am,12.00
1444,14-12-2015,California,Pepperoni Suya,4,08:39:02,Before 9:00am,12.00
1445,03-12-2015,Idaho,Italiano,4,08:39:05,Before 9:00am,12.00
1446,08-12-2015,California,Chicken Bali,5,08:39:08,Before 9:00am,8.00
1447,07-12-2015,Nevada,Hot Pepperoni Feast,5,08:39:08,Before 9:00am,16.00
1448,09-12-2015,Nevada,Pepperoni Feast,5,08:39:12,Before 9:00am,16.00
1449,10-12-2015,California,Beef Suya,4,08:39:13,Before 9:00am,12.00
1450,07-12-2015,Nevada,Meatzaa,3,08:39:14,Before 9:00am,8.00
1451,07-12-2015,Nevada,Chicken Bali,3,08:39:14,Before 9:00am,8.00
1452,04-12-2015,Arizona,Hot Pepperoni Feast,2,08:39:14,Before 9:00am,16.00
1453,15-12-2015,Oregon,Beef Suya,5,08:39:14,Before 9:00am,12.00
